Decision_ID,Decision_Name,Decision_Question,Approved_Option,Include_Status,Status,Approved_By,Approved_At,Evidence_Reference,Notes,Affects_CM2_Calculation,Blocks_Publication
D1,COGS Inclusion,Does CM2 include COGS?,(a) INCLUDE or (b) EXCLUDE,PENDING_APPROVAL,PENDING_APPROVAL,,,outputs/cm2/cm2_fy27_cogs_logistics.csv,"Amount 4411.21L on GMV/MRP basis (D10 approved). Basis settled, inclusion pending.",TRUE,TRUE
D10,COGS Calculation Basis,COGS rate applies to GMV/MRP sales; logistics applies to NSV.,(b) COGS on GMV/MRP + logistics on NSV,INCLUDE,APPROVED,Finance,2026-07-24,Finance clarification 2026-07-24; scripts/cm2_cogs_logistics_fy27.py v2.0.0,"Rates: COGS 14.08%, Logistics 3.27%. Implementation in place.",TRUE,FALSE
D11,Logistics Separation,Logistics as separate component not within COGS rate.,(a) separate components,INCLUDE,APPROVED,Finance,2026-07-24,Finance statement 2026-07-24,"COGS and logistics independently calculated on different bases. Residual Freight/Warehousing overlap risk remains.",TRUE,FALSE
D12,Jun-26 GMV/MRP Source,Supply Jun-26 article CSV with MRP sales.,(a) article CSV - authoritative source recovered,INCLUDE,APPROVED,Sales Ops / MIS,2026-07-24,"MT+EB2B-MTD-Primary-June'26. (1).xlsx; sha256 b73bf8ff...62ae3; NSV control reconciled to 0.02L",Jun-26 GMV/MRP 9300.91L sourced from AUTHORITATIVE seed. Enables COGS calculation for all 3 Q1 months.,TRUE,FALSE
D9,Allocation Rules,Activate direct allocation rules ALLOC-001/002/003?,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,config/cm2_allocation_rules.csv,"ALLOC-001/002/003 only - honour existing tags only. ALLOC-004 onwards deliberately excluded.",FALSE,TRUE
D2,Trade GST Basis,GST basis for trade claims,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,MTIndirect_Claim_April_26_to_June_26.xlsb,Excl-GST 818.45L vs incl-GST 940.81L. Expected consistency with net-of-tax NSV base.,TRUE,TRUE
D3,Provisional Claims,Do provisional claims enter CM2?,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,Final Status blank on all 58 rows; MTIndirect_Claim,All trade claims currently in PROVISIONAL status. Gating mechanism needed.,TRUE,TRUE
D4,Balance Provision,Is balance provision a current-period charge?,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,MTIndirect_Claim Balance Provision column,1034.01L largest single double-count risk. Expected to exclude as carry-forward only.,TRUE,TRUE
D5,Incentive Doubling,Is Salary-row incentive additive to Incentive-row incentive?,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,MT_Spend.xlsx sheets BA / Sups,26.01L additive vs ~14.80L if restatement. Payout structure clarification needed.,TRUE,TRUE
D6,Field-Force CTC,Does field-force CTC belong in CM2?,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,MT_Spend.xlsx,692.94L CTC. Decision gates whether included in CM2 or shown below as supporting cost.,TRUE,TRUE
D7,Hybrid/GT Cost Scope,What share of Hybrid/GT supervisor cost is MT?,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,MT_Spend.xlsx sheet Sups Channel column,44.46L CTC + 9.93L reimbursement. Channel attribution rules needed.,TRUE,TRUE
D8,Distributor Crosswalk,Approve a distributor-to-chain crosswalk?,(not yet decided),PENDING_APPROVAL,PENDING_APPROVAL,,,config/cm2_allocation_rules.csv ALLOC-008,No crosswalk supplied. 21 distributor names encode hints but parsing is prohibited guessing. 818.45L at risk if unmapped.,FALSE,FALSE
D13,FY27 MRP Correction,Correct detail_meta.fyx_primary.FY27.mrp in production data.js,(a) brand exclusion applied; Jun-26 from AUTHORITATIVE seed,INCLUDE,APPROVED,Dashboard team,2026-07-24,"scripts/fix_d13_mrp.py; seed PowerBI/SeedData/Masters/FY27_Monthly_GMV_MRP.csv Jun-26=9300.91L AUTHORITATIVE",FY27 MRP 31336.79L (was understated by 9286.58L). Brand exclusion applied. Jun-26 from authoritative seed.,FALSE,FALSE
