Chain,Proposed_TOT%,Category,Notes
DMart,45.0,Tier-1 Hypermarket,High volume; highest bargaining power → lower margin pass-on
Reliance Retail,48.0,Tier-1 Premium,Strong volume; premium positioning justifies moderate margin
Spencer's,52.0,Tier-2 Mid-Market,Mid-tier volume; standard retail margin
Apollo,55.0,Tier-1 Pharma,Pharma/premium focus; elevated margin support justified
Nykaa SS,60.0,Premium Digital,Premium channel; highest margin pass-on needed
Wellness Forever,58.0,Wellness Focus,Wellness positioning; elevated margin support
Health & Glow,52.0,Mid-Market Wellness,Standard retail positioning; moderate margin
Lulu,50.0,Hypermarket,Standard hypermarket; baseline rate
Metro CNC,45.0,Cash & Carry,Cash-and-carry model; lower margins typical
More Retail,48.0,Regional,Regional presence; moderate margin
RMT-Sancus,50.0,Tier-3 Regional,Standard rate for regional players
Walmart CNC,47.0,Cash & Carry,CNC format; slightly above Metro due to scale
Vishal Mega Mart,46.0,Value Retail,Value-focused; lower margin baseline
Spencers,52.0,General Retail,General retail positioning; standard margin
Shoppers Stop,54.0,Premium Retail,Premium department store; elevated margin
V-Mart,51.0,Regional Value,Regional value positioning; slightly above baseline
Azorte,49.0,Independent,Independent health retail
Eremedium,53.0,Premium Wellness,Premium wellness positioning
Ratnadeep,50.0,Regional,Regional chain; baseline rate
Trent,55.0,Premium Retail,Premium retail group; elevated margins
Frank Ross,48.0,Specialty,Specialty channel; moderate margin
Arambagh,50.0,Regional,Regional store; baseline rate
Lifestyle,54.0,Premium Fashion,Premium positioning; elevated margins
Ascent Wellness,56.0,Wellness Specialty,Wellness specialty; higher margins
Broadway,52.0,General Retail,General retail positioning
Pothys,51.0,Apparel Specialty,Apparel specialty; slightly above baseline
Vijetha,50.0,Regional Retail,Regional retail; baseline rate
Guardian,53.0,Premium Pharma,Premium pharma positioning
B&N,49.0,General Retail,General retail; slightly below baseline
Deal Share,47.0,Value Retail,Value retail positioning
Grace Super MKT,48.0,Neighborhood,Neighborhood supermarket; moderate margin
Apna Mart,46.0,Value,Value positioning; lower margins
Sarvana,50.0,Regional,Regional presence; baseline rate
SastaSundar,45.0,Value,Value retail; lowest margin tier
WH-Smith,54.0,Premium Books,Premium books/stationery positioning
Trilife,52.0,Lifestyle Specialty,Specialty positioning; moderate-high margin
Sumo Save,47.0,Value Discount,Value discount format; lower margins
Today's Basket,49.0,Quick Commerce,Quick commerce model; moderate margin
Lifestyle Babyshop,56.0,Premium Kids,Premium baby/kids focus; elevated margins
Max Hyper,51.0,Hypermarket,Hypermarket format; slightly above baseline
Relay,55.0,Travel Retail,Travel retail positioning; premium margins
G N R C Medishop Pvt Ltd,50.0,Medical Retail,Medical retail; baseline rate
National Mart,48.0,General Retail,General retail; moderate margin
Sohum Shoppe,50.0,Health Store,Health retail; baseline rate
