decision_id,decision,options,recommended_safe_default,amount_affected,downstream_components,owner,status,approved_option,approved_by,approved_at,evidence_reference,notes
D1,Does CM2 include COGS?,INCLUDE | EXCLUDE (CM2 = post-trade-spend contribution),PENDING_APPROVAL - staged outside reported CM2,"1922.66 L (Q1 FY27, NSV basis)",PRODUCT COST,Finance,PENDING_APPROVAL,,,,outputs/cm2/cm2_fy27_cogs_logistics.csv,"Rate card now supplied, so the rates are settled. What is NOT settled is whether COGS sits inside the CM2 definition."
D2,GST basis for trade claims,excl-GST 818.45L | incl-GST 940.81L,Retain excl/GST/incl separately; no CM2 use,122.36 L (the GST delta),TRADE EXPENSE,Finance,PENDING_APPROVAL,,,,MTIndirect_Claim_April_26_to_June_26.xlsb,"CM2 base is net-of-tax NSV, so excl-GST is the consistent choice."
D3,Do provisional claims enter CM2?,INCLUDE provisional | ACTUALS only,PROVISIONAL and excluded,818.45 L,TRADE EXPENSE,Finance,PENDING_APPROVAL,,,,Final Status blank on all 58 rows,"No row has been finalised, so nothing is confirmed as a real charge yet."
D4,Is balance provision a current-period charge?,YES | NO (carry-forward only),Blocked from current-period CM2,1034.01 L,TRADE EXPENSE,Finance,PENDING_APPROVAL,,,,MTIndirect_Claim Balance Provision column,Largest single double-count risk in the dataset.
D5,Is Salary-row incentive additive to Incentive-row incentive?,ADDITIVE | RESTATEMENT,POSSIBLE_RESTATEMENT - excluded,26.01 L max vs ~14.80 L if restated,FIELD FORCE COST,Finance + HR,PENDING_APPROVAL,,,,MT_Spend.xlsx sheets BA / Sups,Incentive column populated across 3 Payout types in one sheet.
D6,Does field-force CTC belong in CM2?,INCLUDE | BELOW CM2,Unallocated pending scope decision,692.94 L,FIELD FORCE COST,Finance,PENDING_APPROVAL,,,,MT_Spend.xlsx,
D7,What share of Hybrid/GT supervisor cost is MT?,MT only | pro-rata | all,Unallocated until an MT basis is approved,44.46 L CTC + 9.93 L reimb,FIELD FORCE COST,Finance + Sales Ops,PENDING_APPROVAL,,,,MT_Spend.xlsx sheet Sups Channel column,Hybrid 112 / MT 52 / GT 37 rows - a GT share is not MT cost.
D8,Approve a distributor-to-chain crosswalk?,APPROVE crosswalk | keep unallocated,Blocked until an approved crosswalk exists,818.45 L,TRADE EXPENSE allocation,Sales Ops + Finance,PENDING_APPROVAL,,,,config/cm2_allocation_rules.csv ALLOC-008,Distributor names encode chain hints in free text; parsing them is prohibited guessing.
D9,Activate direct allocation rules ALLOC-001/002/003?,APPROVE | keep DRAFT,"Staged, tested, not activated",All allocated expense,Allocation engine,Finance,PENDING_APPROVAL,,,,config/cm2_allocation_rules.csv,Lowest-risk rules to approve first - they only honour tags already present in source.
D10,Do the supplied COGS/logistics rates apply to NSV or MRP?,% of NSV | % of MRP sales value,% of NSV (matches the CM2 base component),Changes COGS+logistics by ~2x,PRODUCT COST + LOGISTICS COST,Finance,PENDING_APPROVAL,,,,Screenshot rate card supplied 2026-07-24,"MATERIAL. On NSV basis Q1 COGS+logistics = 2368.64L. A 14% COGS on NSV is low for FMCG, which is why the MRP basis must be ruled out explicitly."
D11,Is logistics cost already inside the COGS rate?,SEPARATE lines | logistics inside COGS,Treated as separate lines as supplied,445.97 L,LOGISTICS COST,Finance,PENDING_APPROVAL,,,,Screenshot rate card supplied 2026-07-24,Supplied as two distinct columns so they are treated as additive. Confirm no overlap before approval.
