id,skill,category,severity,summary,evidence,amount_l,location,owner,decision_ref,remediation
SCAN-UNCLASSIFIED-001,repository_scan,inventory,INFO,File has no classification rule: .github/workflows/dataeng.yml,,,.github/workflows/dataeng.yml,,,Add a rule to ROLE_RULES or confirm the file is obsolete.
SCAN-UNCLASSIFIED-002,repository_scan,inventory,INFO,File has no classification rule: .gitignore,,,.gitignore,,,Add a rule to ROLE_RULES or confirm the file is obsolete.
SCAN-UNCLASSIFIED-003,repository_scan,inventory,INFO,File has no classification rule: CLAUDE.md,,,CLAUDE.md,,,Add a rule to ROLE_RULES or confirm the file is obsolete.
SCAN-UNCLASSIFIED-004,repository_scan,inventory,INFO,File has no classification rule: Final MT Offtake May26 Leadership slide_CORRECTED_V2.pptx,,,Final MT Offtake May26 Leadership slide_CORRECTED_V2.pptx,,,Add a rule to ROLE_RULES or confirm the file is obsolete.
SCAN-UNCLASSIFIED-005,repository_scan,inventory,INFO,File has no classification rule: vercel.json,,,vercel.json,,,Add a rule to ROLE_RULES or confirm the file is obsolete.
SCAN-ORPHAN-__init__.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/__init__.py,filename appears 0x across tracked text files,,scripts/__init__.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-build_fw_nielsen_slide.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/build_fw_nielsen_slide.py,filename appears 0x across tracked text files,,scripts/build_fw_nielsen_slide.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-build_shampoo_deepdive_slide.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/build_shampoo_deepdive_slide.py,filename appears 0x across tracked text files,,scripts/build_shampoo_deepdive_slide.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-build_shampoo_nielsen_slide.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/build_shampoo_nielsen_slide.py,filename appears 0x across tracked text files,,scripts/build_shampoo_nielsen_slide.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-build_stdlib.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/build_stdlib.py,filename appears 0x across tracked text files,,scripts/build_stdlib.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-enhance_v3.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/enhance_v3.py,filename appears 0x across tracked text files,,scripts/enhance_v3.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-insert_pack_size_slide.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/insert_pack_size_slide.py,filename appears 1x across tracked text files,,scripts/insert_pack_size_slide.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-patch_corrections_v2.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/patch_corrections_v2.py,filename appears 0x across tracked text files,,scripts/patch_corrections_v2.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
SCAN-ORPHAN-rebuild_mt_offtake_ppt.py,repository_scan,dead_code,INFO,Script is not referenced anywhere and writes no tracked file: scripts/rebuild_mt_offtake_ppt.py,filename appears 1x across tracked text files,,scripts/rebuild_mt_offtake_ppt.py,Dashboard team,,"Confirm it is a one-off migration, then archive or document it."
