Source_Expense_Name,Normalized_Expense_Head,Expense_Group,Expense_Subgroup,Cost_Behaviour,Direct_or_Shared,Default_Grain,Tax_Basis,Accounting_Status,CM2_Inclusion_Status,Sign_Rule,Allocation_Rule_ID,Effective_From,Effective_To,Approved_By,Approval_Date,Rule_Version,Notes
COGS,COGS,PRODUCT COST,COGS,VARIABLE,DIRECT,MONTH_X_CHAIN_X_ARTICLE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,No source file supplied. CM2 may be a gross-margin-after-trade measure that excludes COGS entirely - Finance must confirm before this row is ever included.
Product Cost,Product Cost,PRODUCT COST,COGS,VARIABLE,DIRECT,MONTH_X_CHAIN_X_ARTICLE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Forward-declared. No source file supplied.
Freight (in product cost),Freight In Product Cost,PRODUCT COST,FREIGHT,SEMI_VARIABLE,SHARED,MONTH_X_CHAIN,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Forward-declared. Only include if Finance confirms freight sits inside product cost and is not already netted in NSV.
Inventory / product-cost adjustment,Inventory Adjustment,PRODUCT COST,ADJUSTMENT,VARIABLE,SHARED,MONTH_ONLY,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Forward-declared. Negative values are genuine credits - never abs().
Claim Base Amount (Excl. GST),Indirect Claim Base,TRADE EXPENSE,INDIRECT CLAIM,VARIABLE,DIRECT,MONTH_X_DISTRIBUTOR,EXCL_GST,PROVISIONAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-008,2026-04-01,,,,v0.1-DRAFT,"OBSERVED in MTIndirect_Claim_April_26_to_June_26.xlsb. Q1 FY27 = 818.45L. Final Status blank on all 58 rows -> PROVISIONAL. Proposed CM2 value because NSV is net of tax, but PENDING until Finance confirms."
Tax Amount,Indirect Claim GST,TAX,CLAIM GST,VARIABLE,DIRECT,MONTH_X_DISTRIBUTOR,GST_ONLY,PROVISIONAL,EXCLUDE,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,"OBSERVED. Q1 FY27 = 122.36L. EXCLUDE: CM2 is computed on net-of-tax NSV, so GST must not be deducted. Reverse only on explicit Finance approval."
Claim Amount (Incl GST),Indirect Claim Incl GST,TRADE EXPENSE,INDIRECT CLAIM,VARIABLE,DIRECT,MONTH_X_DISTRIBUTOR,INCL_GST,PROVISIONAL,EXCLUDE,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,"OBSERVED. Q1 FY27 = 940.81L. EXCLUDE to prevent double counting - this is Base + Tax, both already carried separately. Memo column only."
Balance Provision,Claim Balance Provision,TRADE EXPENSE,SCHEME PROVISION,VARIABLE,DIRECT,MONTH_X_DISTRIBUTOR,EXCL_GST,ACCRUED,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,"OBSERVED. Q1 FY27 = 1034.01L. Carry-forward balance, NOT a current-period charge. Must never be added to the current-period claim without Finance approval - highest double-count risk in the dataset."
Distributor Claims,Distributor Claim,TRADE EXPENSE,DISTRIBUTOR CLAIM,VARIABLE,DIRECT,MONTH_X_DISTRIBUTOR,EXCL_GST,PROVISIONAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-008,2026-04-01,,,,v0.1-DRAFT,Forward-declared synonym bucket.
Trade Schemes,Trade Scheme,TRADE EXPENSE,SCHEME,VARIABLE,DIRECT,MONTH_X_CHAIN,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-002,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
