article_id,article_name,brand,sub_brand,category,sub_category,pack_size,price_band,launch_date,launch_fy,launch_month,launch_quarter,npi_flag,npi_type,comparable_article_id,comparable_category,comparable_price_band,target_chain,target_zone,target_store_count,target_distribution_pct,launch_wave,seasonality_profile,weather_sensitivity,price_sensitivity,expected_ramp_months
AQ_FW_50ML,Aqualogica Face Wash 50ml,Aqualogica,Core,Face Wash,Cleansers,50ml,PREMIUM,2025-06-15,FY26,Jun,Q1,true,New Variant,AQ_FW_100ML,Face Wash,PREMIUM,"Reliance,DMart","North,West",450,80,1,Consistent,Medium,Low,9
ME_HS_200ML,Mamaearth Hair Oil 200ml,Mamaearth,Core,Hair Oil,Nourishing Oils,200ml,MID,2025-08-01,FY26,Aug,Q2,true,New Variant,ME_HS_250ML,Hair Oil,MID,"Reliance,DMart,Trent","North,South 1,West",600,75,1,Seasonal,High,Medium,10
TDC_FW_ACNE,The Derma Co Acne Face Wash,The Derma Co,Acne Rx,Face Wash,Medicated,100ml,PREMIUM,2025-07-20,FY26,Jul,Q2,true,New Variant,TDC_FW_GENERAL,Face Wash,PREMIUM,"Reliance,Nykaa","East,West",350,70,1,Consistent,Low,High,8
DS_SERUM_VIT,Dr. Sheth's Vitamin C Serum,Dr. Sheth's,Serums,Face Serum,Active Treatment,30ml,PREMIUM,2025-05-10,FY26,May,Q1,true,New Variant,DS_SERUM_AHA,Face Serum,PREMIUM,"DMart,Reliance,Nykaa","North,West",500,72,1,Consistent,Low,Medium,11
PO_FACE_CREAM,Pure Origin Face Moisturiser,Pure Origin,Naturals,Face Care,Moisturisers,50ml,PREMIUM,2024-09-15,FY25,Sep,Q2,false,New Brand,null,Face Care,PREMIUM,"Reliance,DMart","North,East,West",200,60,1,Seasonal,Low,Medium,12
ST_SHAMPOO_DRY,Staze Dry Hair Shampoo,Staze,Professional,Hair Care,Shampoos,200ml,MID,2024-11-01,FY25,Nov,Q3,false,New Variant,ST_SHAMPOO_OIL,Hair Care,MID,"Reliance,Trent","East,West",400,65,2,Seasonal,High,Low,10
AQ_TONER_BLD,Aqualogica Hydrating Toner,Aqualogica,Core,Face Toner,Hydrating,100ml,PREMIUM,2025-09-01,FY27,Sep,Q2,true,New Variant,AQ_TONER_PREV,Face Toner,PREMIUM,"DMart,Reliance","North,West",300,70,1,Consistent,Low,Low,8
ME_BB_CREAM_SPF,Mamaearth BB Cream SPF30,Mamaearth,Beauty,Face Makeup,BB Creams,30ml,PREMIUM,2025-06-01,FY26,Jun,Q1,true,New Variant,ME_BB_CREAM_BASIC,Face Makeup,PREMIUM,"Reliance,Nykaa","North,South 1,West",250,65,1,Consistent,Low,High,9
TDC_BODY_LOTION,The Derma Co Body Lotion,The Derma Co,Body Care,Body Lotion,Hydrating,200ml,MID,2025-08-15,FY26,Aug,Q2,true,New Variant,TDC_BODY_OIL,Body Care,MID,"Reliance,DMart","North,East,South 1",400,75,1,Seasonal,Medium,Low,10
DS_KOJIC_SOAP,Dr. Sheth's Kojic Acid Soap,Dr. Sheth's,Cleansing,Soaps,Medicated,100g,MID,2025-04-20,FY26,Apr,Q1,true,New Variant,DS_NEEM_SOAP,Soaps,MID,"Reliance,DMart,Trent","North,West,East",350,70,1,Consistent,Low,Medium,12
