Alias,Canonical Chain,Note,Verified
Reliance,Reliance Retail,bare corporate string used in monthly offtake exports,business-confirmed 2026-07-13
H&G,Health & Glow,abbreviation used in offtake exports (site names carry HG- prefix),business-confirmed 2026-07-13
Vmm,Vishal Mega Mart,abbreviation used in offtake exports,business-confirmed 2026-07-13
Sancus(Rmt),RMT-Sancus,same tokens in reversed order,business-confirmed 2026-07-13
Frankros,Frank Ross,spacing collapsed in offtake exports,business-confirmed 2026-07-13
Spencer,Spencers,singular form in offtake exports,business-confirmed 2026-07-13
FSN,Nykaa SS(fsn),FSN E-Commerce is the Nykaa parent entity,business-confirmed 2026-07-13
Beauty & Nutrie,B&N,expanded form of the B&N initialism,business-confirmed 2026-07-13
MRL,More Retail,leadership-deck abbreviation for More (MRL) -- seen on the Chain-wise Market Share slide,business-confirmed 2026-07-14
FRANKROSS,Frank Ross,"all-caps double-S spelling variant seen in Jun'26 secondary distributor feed (Az Enterprises); ShipToMaster.csv explicitly lists Az Enterprises as serving 'Frank Ross'",auto-resolved (mtagent) 2026-07-19 -- high confidence via ShipToMaster.csv cross-ref, not yet business-confirmed
Sasta Sunder,SastaSundar,"3rd spelling variant on record (also 'Sasta Sundar' in DistributorRouted_Articles.csv); seen in Jun'26 secondary feed (D.L. Sales - MT); ShipToMaster.csv explicitly lists D.L. Sales - MT as serving 'SastaSundar'",auto-resolved (mtagent) 2026-07-19 -- high confidence via ShipToMaster.csv cross-ref, not yet business-confirmed
Reliance Retail-(Azorte),Azorte,"exact string from the original business decision ('Reliance Retail-(Azorte) -> Reliance Azorte'), seen for real in the Jun'26 distributor secondary feed; ChainMaster.csv already carries 'Azorte' as the separate-banner canonical chain (parent 'Reliance')",auto-resolved (mtagent) 2026-07-19 -- high confidence, matches the already-recorded decision, not yet business-confirmed
SSL,SastaSundar,"industry-standard abbreviation for Sasta Sundar Ltd; ChainMaster.csv already carries 'SastaSundar' as canonical, with 'Sasta Sunder' already on record as a 2nd spelling variant; seen for real in June26_compiled_offtake.xlsb (647 rows, NSV 2.54L)",auto-resolved (mtagent) 2026-07-22 -- high confidence via existing alias pattern, not yet business-confirmed
Ratanadeep,Ratnadeep,"single-letter spelling variant of the existing canonical chain 'Ratnadeep' (ChainMaster.csv); seen for real in June26_compiled_offtake.xlsb (76 rows, NSV 2.51L)",auto-resolved (mtagent) 2026-07-22 -- high confidence spelling variant, not yet business-confirmed
