Exception_ID,Month,Distributor,Issue_Category,Chain_Channel,Claim_Type,Claimed_Amount_INR,Resolution_Decision,Canonical_Chain_ID,Finance_Comment,Sign_Off_Status,Remarks
LEG_001,Apr-2026,G V Enterprises,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: GV April'26 MT -Indirect Claim Submission. Requires parsing for distributor-chain-brand-EAN breakdown.",PENDING,"Awaiting CFO review of claim document structure"
LEG_002,May-2026,G V Enterprises,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: GV MAY'26 MT -Indirect Claim Submission. Requires parsing.",PENDING,"Assign to Finance Analyst for manual claim reconciliation"
LEG_003,Jun-2026,G V Enterprises,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: GV JUN'26 MT -Indirect Claim Submission. Requires parsing.",PENDING,"Priority: High (Jun data required for quarterly close)"
LEG_004,Apr-2026,Kottaram,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: NORMAL CLAIM & PROMO CLAIM. Requires parsing.",PENDING,"Two separate files (normal + promo) need consolidation"
LEG_005,May-2026,Kottaram,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: NEW MAY-26 claims & OFF INVOICE. Requires parsing.",PENDING,"Multi-part submission needs line-item mapping"
LEG_006,Jun-2026,Kottaram,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: PROMO CLAIM JULY (3). Requires parsing.",PENDING,"Date anomaly: July claim in June folder"
LEG_007,Apr-2026,Manoj Soap Agency,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: MANOJ SOAP AGENCY MT Claim. Requires parsing.",PENDING,"Legacy format, may require format conversion"
LEG_008,May-2026,Manoj Soap Agency,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: MANOJ SOAP MAY 2026. Requires parsing.",PENDING,""
LEG_009,Jun-2026,Manoj Soap Agency,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: MANOJ SOAP AGENCY June 2026. Requires parsing.",PENDING,""
LEG_010,May-2026,Manoj Soap Agency,Legacy Workbook Not Parsed,Multiple,Mixed,TBD,Manual Review Required,TBD,"File: Duplicate/variant of LEG_008?",PENDING,"Verify no double-counting with May submission"
CHN_001,Apr-2026,Balaji Associates,Chain Mapping Required,Multiple (Not Specified),Incentive,194442,Auto-Map: Reliance Retail,RRL_02,"Incentive claim. Map to primary distributor channel (Reliance Retail).",APPROVED,"Balaji Associates = primary RRL distributor; map to RRL_02"
CHN_002,Jun-2026,Srijan Enterprises,Chain Mapping Required,Multiple (Unspecified),Off Invoice / Debit Note Promo,3375,Auto-Map: Unspecified (Hold),TBD,"Off Invoice promo. Distributor-chain mapping unclear. Low amount (₹3,375) — hold for batch mapping decision.",PENDING,"Srijan: Verify active channels. Amount trivial; batch with other Srijan claims"
BRN_001,Apr-2026,Balaji Associates,Brand Split: Extra Margin / Rate Difference,Reliance Retail,Extra Margin,5669,APPROVED,RRL_02,"Reliance Retail | Rate Difference. Map to RRL.",APPROVED,"Legitimate rate diff for Reliance channel"
BRN_002,Apr-2026,Balaji Associates,Brand Split: Extra Margin / Rate Difference,Apollo,Extra Margin,−709,APPROVED,APOL_01,"Apollo | Rate Difference (NEGATIVE ₹-709). Treat as correction/credit memo.",APPROVED,"Negative claim = refund/credit. Record in AR aging."
BRN_003,Apr-2026,Balaji Associates,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,46257,APPROVED,VMM_05,"VMM | Freight/Transportation. Allowable under claim policy.",APPROVED,"Standard freight charge; no dispute"
BRN_004,Apr-2026,Balaji Associates,Brand Split: Freight / Transportation,Reliance Retail,Freight,38541,APPROVED,RRL_02,"RRL | Freight/Transportation. Allowable.",APPROVED,""
BRN_005,Apr-2026,Balaji Associates,Brand Split: Incentive,Multiple (Unspecified),Incentive,194442,Hold for Review,TBD,"Unspecified chain. Cross-reference with CHN_001 (same amount ₹194,442). Consolidate if duplicate.",PENDING,"Likely related to CHN_001; verify no double-counting"
BRN_006,Apr-2026,Just Mark,Brand Split: Extra Margin / Rate Difference,D-Mart,Extra Margin,373650,APPROVED,DMART_01,"Just Mark / DMart | Rate Difference. Core channel.",APPROVED,"Just Mark = 100% DMart distributor"
BRN_007,Apr-2026,Kiran Trading Co.,Brand Split: Extra Margin / Rate Difference,D-Mart,Extra Margin,152678,APPROVED,DMART_01,"Kiran Trading / DMart | Rate Difference.",APPROVED,"Kiran = 100% DMart distributor"
BRN_008,Apr-2026,Pragati Sales,Brand Split: Extra Margin / Rate Difference,D-Mart,Extra Margin,55501,APPROVED,DMART_01,"Pragati Sales / DMart | Rate Difference.",APPROVED,""
