Metric,Dashboard_Path,Current_Value,Unit,Grain,Calculation_Basis,Definition,Source,Transformation,Consumers_Tabs,Business_Owner,Resolved,Known_Limitations
Primary NSV FY25,primary.nsv_fy25,23328.04,INR Lakh,FY,NSV,"Net sales value dispatched to MT chains, FY25, net of TOT%/on-invoice margin and tax.",Pre-aggregated Primary workbook (ends Mar-26),build_dashboard_data.py primary_block(),"Overview, Primary",Sales MIS,YES,Pre-agg window only; excluded brands already removed.
Primary NSV FY26,primary.nsv_fy26,32888.12,INR Lakh,FY,NSV,"As FY25, for FY26.",Pre-aggregated Primary workbook,build_dashboard_data.py primary_block(),"Overview, Primary",Sales MIS,YES,Monthly series excludes excluded brands; FY total may differ slightly.
Primary NSV FY27,detail_meta.fyx_primary.FY27.nsv,13652.59,INR Lakh,FY,NSV,Article-level primary NSV for FY27 (Apr-26 onward).,primary_article_<Mon>_<YY>.csv; Jun-26 via patch_jun26.py,detail_records_real() -> fyx_primary,"Overview, Primary",Sales MIS,YES,Only months with a loaded source contribute.
Primary MRP FY27,detail_meta.fyx_primary.FY27.mrp,31336.79,INR Lakh,FY,GMV_MRP,Gross MRP/GMV sales value for FY27.,primary_article CSV (Apr/May) + governed seed FY27_Monthly_GMV_MRP.csv (Jun-26),fix_d13_mrp.py; build_dashboard_data.py _fx_included['_MRP'].sum(),(not surfaced — used in CM2 COGS calculation),Sales MIS,YES,D13 RESOLVED: brand exclusion applied; Jun-26 from AUTHORITATIVE seed (9300.91L). Correct total 31336.79L (Apr 11760.60 + May 10275.28 + Jun 9300.91).
Offtake NSV FY27,offtake.total_fy27,11438.72,INR Lakh,FY,NSV,Retail offtake (sell-out) across MT chains for FY27.,Monthly store x article offtake extracts,offtake_block() + patch_offtake_new_months(),"Offtake, Overview",Trade Marketing,YES,Chain coverage varies by month; a partial source silently reduces a FY.
CM2 value,cm2.cm2_value,42325.7,INR Lakh,FY26+FY27,NSV,NSV less P&L expenses. PROVISIONAL - formula unapproved.,PL_Expense_Input.csv,cm2_block(),P&L,Finance,YES,PL_Expense_Input.csv holds 3 EXAMPLE rows only; expense ratio 0.1% is not real.
CM2 total expense,cm2.total_expense,47.65,INR Lakh,FY26+FY27,Absolute,Total expense entering CM2.,PL_Expense_Input.csv,cm2_block(),P&L,Finance,YES,Example data. Real Q1 FY27 evidence is ~30x this.
P&L blended discount %,pnl.blended_discount_pct,60.9,percent,FY,MRP,(MRP - NSV) / MRP across chains.,Pre-aggregated P&L workbook,pnl_block(),P&L,Finance,YES,Pre-agg window ends Mar-26.
TOT %,tot.blended_tot_pct,50.2,percent,FY,NSV,Trade-on-total / on-invoice margin passed to the chain.,Article-level primary,tot_block(),"P&L, Primary",Finance,YES,Already netted out of NSV -- must never be deducted again in CM2.
Distribution gap (annualised),dist_gap.total_addon_ann,91076.45,INR Lakh,FY,NSV,Annualised opportunity from closing distribution gaps.,TDP / store universe,dist_gap_block(),Distribution,Trade Marketing,YES,"Modelled opportunity, not booked sales."
