Priority Buckets,Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
1-Low Conf; 4-Negative; 5-Name Variant; 3-Multi-Chain Dist,B&N,Az Enterprises,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),5,Dec'25–May'26,4.61,-0.24,16.33,Low,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up; NEGATIVE NSV/Cont — review,Y,,Y,Y,Y,Pending,,,Merge,,,
1-Low Conf; 4-Negative; 5-Name Variant; 3-Multi-Chain Dist,B&N,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),5,Jul'25–Feb'26,0.16,-0.02,0.46,Low,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up; NEGATIVE NSV/Cont — review,Y,,Y,Y,Y,Pending,,,Merge,,,
1-Low Conf; 4-Negative; 3-Multi-Chain Dist,B&N,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Jan'26–Mar'26,5.8,-4.35,14.93,Low,Multi-chain distributor; split by secondary Cont% — validate (8 chains); NEGATIVE NSV/Cont — review,Y,,Y,Y,,Pending,,,Needs Check,,,
1-Low Conf; 4-Negative; 3-Multi-Chain Dist,B&N,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),3,Jan'26–Mar'26,17.45,-4.51,39.33,Low,Multi-chain distributor; split by secondary Cont% — validate (8 chains); NEGATIVE NSV/Cont — review,Y,,Y,Y,,Pending,,,Needs Check,,,
1-Low Conf; 4-Negative; 3-Multi-Chain Dist,B&N,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Jan'26–Mar'26,0.45,-0.01,0.72,Low,Multi-chain distributor; split by secondary Cont% — validate (8 chains); NEGATIVE NSV/Cont — review,Y,,Y,Y,,Pending,,,Needs Check,,,
1-Low Conf; 4-Negative; 5-Name Variant; 3-Multi-Chain Dist,Frank Ross,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Feb'26,2.99,-0.04,24.01,Low,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up; NEGATIVE NSV/Cont — review,Y,,Y,Y,Y,Pending,,,Merge,,,
1-Low Conf; 4-Negative; 5-Name Variant; 3-Multi-Chain Dist,More Retail,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,41.22,-2.96,100.0,Low,Multi-chain distributor; chain name in ship-to (9 chains); account has 2 ship-to variants/branches — confirm roll-up; NEGATIVE NSV/Cont — review,Y,,Y,Y,Y,Pending,,,Merge,,,
1-Low Conf; 4-Negative; 3-Multi-Chain Dist,Spencers,D.L. Sales - MT,D.L. Sales,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),7,Apr'25–Apr'26,23.65,-0.19,60.35,Low,Multi-chain distributor; split by secondary Cont% — validate (13 chains); NEGATIVE NSV/Cont — review,Y,,Y,Y,,Pending,,,Needs Check,,,
5-Name Variant,Apollo,APOLLO HEALTHCO LIMITED-WB,APOLLO HEALTHCO LIMITED,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Apollo,APOLLO HEALTHCO LIMITED-WB,APOLLO HEALTHCO LIMITED,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
